questao,S,experimento,n,teste,linha,coluna,casa_inicial,estrategia,solucao,chamadas,tentativas,backtracks,comparacoes,atualizacoes,tamanho_subsequencia,instancia,capacidade,metodo,configuracao,valor,peso,itens,avaliacoes,cruzamentos,mutacoes,geracoes,Vref,gap,gap_percentual,tempo_ms,observacoes
Q1,466473,Passeio do Cavalo n=5,5,principal,4,5,"(4,5)",Backtracking puro,NAO,1829421,1829420,1829420,,,,,,,,,,,,,,,,,,129,
Q1,466473,Passeio do Cavalo n=5,5,principal,4,5,"(4,5)",Warnsdorff,NAO,1829421,1829420,1829420,,,,,,,,,,,,,,,,,,259,
Q1,466473,Passeio do Cavalo n=6,6,principal,4,4,"(4,4)",Backtracking puro,SIM,577655,577654,577619,,,,,,,,,,,,,,,,,,45,
Q1,466473,Passeio do Cavalo n=6,6,principal,4,4,"(4,4)",Warnsdorff,SIM,63,62,27,,,,,,,,,,,,,,,,,,0,
Q1,466473,Passeio do Cavalo n=8,8,principal,2,6,"(2,6)",Backtracking puro,NAO,8226522581,8226522580,8226522540,,,,,,,,,,,,,,,,,,600000,Execução interrompida ao atingir o limite de 10 minutos.
Q1,466473,Passeio do Cavalo n=8,8,principal,2,6,"(2,6)",Warnsdorff,SIM,64,63,0,,,,,,,,,,,,,,,,,,0,
Q1,466473,Passeio do Cavalo n=8,8,segundo_8x8,1,8,"(1,8)",Warnsdorff,SIM,64,63,0,,,,,,,,,,,,,,,,,,0,
Q2,466473,Subsequência crescente n=100,100,,,,,,,,,,4950,193,16,,,,,,,,,,,,,,,0,Sequência gerada com a semente S.
Q2,466473,Subsequência crescente n=250,250,,,,,,,,,,31125,509,28,,,,,,,,,,,,,,,0,Sequência gerada com a semente S.
Q2,466473,Subsequência crescente n=500,500,,,,,,,,,,124750,1197,43,,,,,,,,,,,,,,,1,Sequência gerada com a semente S.
Q2,466473,Subsequência crescente n=1000,1000,,,,,,,,,,499500,2599,58,,,,,,,,,,,,,,,2,Sequência gerada com a semente S.
