section,question,instance,algorithm,configuration,seed,n,capacity,value,weight,items,comparisons,updates,recursive_calls,backtracks,time_ms,lis_length,gap_abs,gap_percent,notes
Q2,Subsequencia crescente,sequencia_aleatoria_semente,LIS-DP,best/next de tras para frente,466473,100,,,,,4950,209,,,0,16,,,"Sequencia gerada com Random(S) no intervalo [1, 10000]."
Q2,Subsequencia crescente,sequencia_aleatoria_semente,LIS-DP,best/next de tras para frente,466473,250,,,,,31125,537,,,1,28,,,"Sequencia gerada com Random(S) no intervalo [1, 10000]."
Q2,Subsequencia crescente,sequencia_aleatoria_semente,LIS-DP,best/next de tras para frente,466473,500,,,,,124750,1240,,,2,43,,,"Sequencia gerada com Random(S) no intervalo [1, 10000]."
Q2,Subsequencia crescente,sequencia_aleatoria_semente,LIS-DP,best/next de tras para frente,466473,1000,,,,,499500,2657,,,4,58,,,"Sequencia gerada com Random(S) no intervalo [1, 10000]."
Q2,Subsequencia crescente,sequencia_aleatoria_semente,LIS-DP,best/next de tras para frente,466473,2000,,,,,1999000,5980,,,16,84,,,"Sequencia gerada com Random(S) no intervalo [1, 10000]."
Q2,Subsequencia crescente,sequencia_aleatoria_semente,LIS-DP,best/next de tras para frente,466473,4000,,,,,7998000,13139,,,44,121,,,"Sequencia gerada com Random(S) no intervalo [1, 10000]."
Q3,Mochila 0/1,instancia_20,Guloso-razao,maior valor/peso,466473,20,466,3878,451,"[7, 8, 6, 15, 12, 19, 5, 1, 13, 11, 10, 9, 2]",83,13,,,3,,0,0.0,ordenacao por maior valor/peso
Q3,Mochila 0/1,instancia_20,Guloso-valor,maior valor absoluto,466473,20,466,3454,466,"[11, 5, 16, 10, 7, 2, 19, 13, 15, 6]",84,10,,,0,,424,10.933470861268695,ordenacao por maior valor absoluto
Q3,Mochila 0/1,instancia_20,Genetico,A,466473,20,466,3878,451,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19]",207103,27648,,,59,,0,0.0,"pop=80, geracoes=250, mutacao=0.0200, selecao=torneio, cruzamento=ponto unico, penalidade=1000"
Q3,Mochila 0/1,instancia_20,Genetico,B,466473,20,466,3878,451,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19]",505992,75808,,,78,,0,0.0,"pop=120, geracoes=320, mutacao=0.0500, selecao=torneio, cruzamento=ponto unico, penalidade=2000"
Q3,Mochila 0/1,instancia_20,Programacao-dinamica,solucao exata,466473,20,466,3878,451,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19]",17747,5744,,,0,,0,0.0,referencia otima; tabela 2D para reconstrucao das escolhas
Q3,Mochila 0/1,instancia_50,Guloso-razao,maior valor/peso,466473,50,1250,10693,1239,"[34, 7, 25, 32, 46, 8, 6, 49, 15, 12, 19, 35, 27, 30, 21, 50, 43, 45, 5, 44, 1, 13, 42, 11, 31, 29, 36, 10, 9, 28, 22, 2]",268,32,,,0,,0,0.0,ordenacao por maior valor/peso
Q3,Mochila 0/1,instancia_50,Guloso-valor,maior valor absoluto,466473,50,1250,10234,1239,"[45, 42, 21, 28, 49, 32, 43, 11, 27, 48, 35, 5, 46, 16, 34, 29, 10, 7, 2, 19, 13, 44, 22, 15, 25, 6, 12, 8]",270,28,,,0,,459,4.292527821939586,ordenacao por maior valor absoluto
Q3,Mochila 0/1,instancia_50,Genetico,A,466473,50,1250,10693,1239,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19, 21, 22, 25, 27, 28, 29, 30, 31, 32, 34, 35, 36, 42, 43, 44, 45, 46, 49, 50]",217836,39578,,,71,,0,0.0,"pop=80, geracoes=250, mutacao=0.0200, selecao=torneio, cruzamento=ponto unico, penalidade=1000"
